사업장명,서비스명,서비스아이디(ID),인허가일자,업종분류,소재지전화,구우편번호,주소,도로명우편번호,도로명주소,영업상태,경도,위도,대표메뉴,영업시간,휴무
교촌치킨칠성고성점,일반음식점,07_24_04_P,2009-04-13,음식점,053-353-9400,702-851,대구광역시 북구 칠성동2가 42-9 ,41586,대구광역시 북구 호암로 6 (칠성동2가),Y,128.5910622,35.8829327,치킨,"월 12:00 - 02:00, 화 12:00 - 02:00, 수 12:00 - 02:00, 목 12:00 - 02:00, 금 12:00 - 02:00, 토 12:00 - 02:00, 일 12:00 - 02:00",
꿈을요리하다 닭한끼 침산점,일반음식점,07_24_04_P,2017-02-15,음식점,053-243-0300,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, 파크몰B동 2층 1호 (침산동)",Y,128.5937778,35.88384424,닭요리,"월 11:30 - 21:30, 화 11:30 - 21:30, 수 11:30 - 21:30, 목 11:30 - 21:30, 금 11:30 - 21:30, 토 11:30 - 21:30, 일 11:30 - 21:30",
서가앤쿡,일반음식점,07_24_04_P,2017-04-11,음식점,053-351-0401,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 파크몰A동 2층 (침산동, 삼성창조경제단지)",Y,128.5937778,35.88384424,양식,"월 11:30 - 22:00, 화 11:30 - 22:00, 수 11:30 - 22:00, 목 11:30 - 22:00, 금 11:30 - 22:00, 토 11:30 - 22:00, 일 11:30 - 22:00",
순남시래기침산점,일반음식점,07_24_04_P,2018-07-19,음식점,053-351-7797,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 파크몰 B동 1층 3호 (침산동)",Y,128.5937778,35.88384424,시래기국,"월 11:30 - 21:30, 화 11:30 - 21:30, 수 11:30 - 21:30, 목 11:30 - 21:30, 금 11:30 - 21:30, 토 11:30 - 21:30, 일 11:30 - 21:30",
토마틸로대구삼성창조경제단지점,일반음식점,07_24_04_P,2017-03-03,음식점,053-354-5332,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 파크몰 B동 1층 1호 (침산동, 대구삼성창조경제단지)",Y,128.5937778,35.88384424,"멕시코, 남미음식","월 12:00 - 22:30, 화 12:00 - 22:30, 수 12:00 - 22:30, 목 12:00 - 22:30, 금 12:00 - 22:30, 토 12:00 - 22:30, 일 12:00 - 22:30",
토끼정,일반음식점,07_24_04_P,2017-04-12,음식점,053-341-3632,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 창조캠퍼스 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,일식,"월 11:30 - 22:00, 화 11:30 - 22:00, 수 11:30 - 22:00, 목 11:30 - 22:00, 금 11:30 - 22:00, 토 11:30 - 22:00, 일 11:30 - 22:00",
바스코침산점,일반음식점,07_24_04_P,2017-04-13,음식점,053-341-7025,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 창조캠퍼스 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,"멕시코, 남미음식","월 12:00 - 22:00, 화 12:00 - 22:00, 수 12:00 - 22:00, 목 12:00 - 22:00, 금 12:00 - 22:00, 토 12:00 - 22:00, 일 12:00 - 22:00",
이여곰탕,일반음식점,07_24_04_P,2020-08-14,음식점,053-352-4505,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, 에이동 1층 111호 (침산동)",Y,128.5937778,35.88384424,한우곰탕,"월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
일층집의정부부대찌개,일반음식점,07_24_04_P,2020-08-14,음식점,053-352-5457,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, 에이동 1층 111호 (침산동)",Y,128.5937778,35.88384424,부대찌개,,
푸라닭침산삼성창조,일반음식점,07_24_04_P,2018-02-28,음식점,053-353-9206,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 삼성창조경제캠퍼스 B동 1층 4호 (침산동)",Y,128.5937778,35.88384424,"치킨, 닭강정","월 12:00 - 00:00, 화 12:00 - 00:00, 수 12:00 - 00:00, 목 12:00 - 00:00, 금 12:00 - 00:00, 토 12:00 - 00:00, 일 12:00 - 00:00",
죠르죠피렌체(Giorgio Firenze),일반음식점,07_24_04_P,2019-05-24,음식점,053-355-8232,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 삼성창조경제단지 기숙사D동 1,2층 (침산동)",Y,128.5937778,35.88384424,알리오 올리오,"월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
(주)에스앤에스숨 숨쉬는순두부대구침산점,일반음식점,07_24_04_P,2017-04-12,음식점,053-341-3432,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조캠퍼스 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,두부요리,"월 11:30 - 21:00, 화 11:30 - 21:00, 수 11:30 - 21:00, 목 11:30 - 21:00, 금 11:30 - 21:00, 토 11:30 - 21:00, 일 11:30 - 21:00",
한농부의풀꽃밥상,일반음식점,07_24_04_P,2017-03-29,음식점,053-359-0071,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰B동 2층 (침산동)",Y,128.5937778,35.88384424,한식,"월 11:30 - 21:30, 화 11:30 - 21:30, 수 11:30 - 21:30, 목 11:30 - 21:30, 금 11:30 - 21:30, 토 11:30 - 21:30, 일 11:30 - 21:30",
몬나니떡볶이침산점,일반음식점,07_24_04_P,2017-04-05,음식점,053-355-0033,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰B동 1층 (침산동)",Y,128.5937778,35.88384424,"떡볶이, 튀김","월 11:00 - 22:00, 화 11:00 - 22:00, 수 11:00 - 22:00, 목 11:00 - 22:00, 금 11:00 - 22:00, 토 11:00 - 22:00, 일 11:00 - 22:00",
구슬함박 삼성창조캠퍼스점,일반음식점,07_24_04_P,2017-03-29,음식점,053-341-5080,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,함박스테이크,"월 11:30 - 21:30, 화 11:30 - 21:30, 수 11:30 - 21:30, 목 11:30 - 21:30, 금 11:30 - 21:30, 토 11:30 - 21:30, 일 11:30 - 21:30",
소문난동래밀면,일반음식점,07_24_04_P,2017-04-10,음식점,053-355-5255,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,밀면,"월 10:40 - 20:00, 화 10:40 - 20:00, 수 10:40 - 20:00, 목 10:40 - 20:00, 금 10:40 - 20:00, 토 10:40 - 20:00, 일 10:40 - 20:00",
정담,일반음식점,07_24_04_P,2017-04-14,음식점,053-355-4952,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰A동 2층 (침산동)",Y,128.5937778,35.88384424,"백반, 가정식","월 11:30 - 22:00, 화 11:30 - 22:00, 수 11:30 - 22:00, 목 11:30 - 22:00, 금 11:30 - 22:00, 토 11:30 - 22:00, 일 11:30 - 22:00",
풍국면,일반음식점,07_24_04_P,2017-03-21,음식점,053-351-3377,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 파크몰A동 1층 (침산동)",Y,128.5937778,35.88384424,국수,"월 11:00 - 21:00, 화 11:00 - 21:00, 수 11:00 - 21:00, 목 11:00 - 21:00, 금 11:00 - 21:00, 토 11:00 - 21:00, 일 11:00 - 21:00",
파티온,일반음식점,07_24_04_P,2017-03-29,음식점,053-287-2000,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, 대구삼성창조경제단지 컨벤션센터동 1층 (침산동)",Y,128.5937778,35.88384424,"스테이크, 립","월 09:00 - 22:00, 화 09:00 - 22:00, 수 09:00 - 22:00, 목 09:00 - 22:00, 금 09:00 - 22:00, 토 09:00 - 22:00, 일 09:00 - 22:00",
피제리아라레지나(PIZZERIA LA REGINA),일반음식점,07_24_04_P,2018-04-17,음식점,053-356-8232,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 대구삼성참조경제단지 기숙사 B동 1, 2층 1호 (침산동)",Y,128.5937778,35.88384424,피자,"월 11:30 - 01:30, 화 11:30 - 01:30, 수 11:30 - 01:30, 목 11:30 - 01:30, 금 11:30 - 01:30, 토 11:30 - 01:30, 일 11:30 - 01:30",
(주)카페동이3호점,일반음식점,07_24_04_P,2017-02-01,음식점,053-355-0609,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, E동 1층 1호 (침산동, 삼성창조경제단지 기숙사)",Y,128.5937778,35.88384424,"백반, 가정식","월 11:00 - 21:30, 화 11:00 - 21:30, 수 11:00 - 21:30, 목 11:00 - 21:30, 금 11:00 - 21:30, 토 11:00 - 21:30, 일 11:00 - 21:30",
갓샐러드침산점,휴게음식점,07_24_05_P,2020-01-09,음식점,070-4226-1700,702-859,대구광역시 북구 침산동 1757 ,41585,"대구광역시 북구 호암로 51, B동 2층 8호 (침산동)",Y,128.5937778,35.88384424,샐러드,"월 11:00 - 20:00, 화 11:00 - 20:00, 수 11:00 - 20:00, 목 11:00 - 20:00, 금 11:00 - 20:00, 토 11:00 - 20:00, 일 11:00 - 20:00",
버거킹대구삼성창조캠퍼스점,휴게음식점,07_24_05_P,2016-12-30,음식점,053-354-0332,702-859,대구광역시 북구 침산동 1757번지 ,41585,"대구광역시 북구 호암로 51, 1층 1, 2호 (침산동, 벤쳐오피스)",Y,128.5937778,35.88384424,햄버거,"월 09:00 - 23:00, 화 09:00 - 23:00, 수 09:00 - 23:00, 목 09:00 - 23:00, 금 09:00 - 23:00, 토 09:00 - 23:00, 일 09:00 - 23:00",
파리바게뜨 삼성점,제과점영업,07_22_18_P,1997-07-05,음식점,053-355-2855,702-853,대구광역시 북구 칠성동2가 378-4번지 ,41586,"대구광역시 북구 호암로 40 (칠성동2가, 101,102호)",Y,128.5943632,35.88145566,"빵, 케이크","월 10:20 - 22:30, 화 10:20 - 22:30, 수 10:20 - 22:30, 목 10:20 - 22:30, 금 10:20 - 22:30, 토 10:20 - 22:30, 일 10:20 - 22:30",
빡빡이참숯화로구이(침산점),일반음식점,07_24_04_P,2008-12-29,음식점,053-356-9285,702-851,대구광역시 북구 칠성동2가 42-8번지 ,41586,대구광역시 북구 호암로 4 (칠성동2가),Y,128.5908231,35.88293208,"육류, 고기요리",,
피자헤븐북대구점,휴게음식점,07_24_05_P,2020-07-30,음식점,,702-853,대구광역시 북구 칠성동2가 378-26 ,41586,대구광역시 북구 호암로 30 (칠성동2가),Y,128.5939072,35.88232599,,,
김밥365(칠성점),휴게음식점,07_24_05_P,2004-02-18,음식점,053-353-3650,702-853,대구광역시 북구 칠성동2가 378-26번지 ,41586,대구광역시 북구 호암로 30 (칠성동2가),Y,128.5939072,35.88232599,분식,,
본죽(침산점),일반음식점,07_24_04_P,2005-07-21,음식점,053-355-6288,702-853,대구광역시 북구 칠성동2가 378-26번지 ,41586,대구광역시 북구 호암로 30 (칠성동2가),Y,128.5939072,35.88232599,죽,"월 09:30 - 20:00, 화 09:30 - 20:00, 수 09:30 - 20:00, 목 09:30 - 20:00, 금 09:30 - 20:00, 토 09:30 - 20:00, 일 09:30 - 20:00",
압구정본가불닭발,일반음식점,07_24_04_P,2017-11-17,음식점,053-359-3309,702-851,대구광역시 북구 칠성동2가 127번지 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 126동 1층 105호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,불닭발,,
반반이두통찜닭침산점,일반음식점,07_24_04_P,2019-10-23,음식점,053-358-3771,702-851,대구광역시 북구 칠성동2가 127번지 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 126동 1층 101호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,한마리 찜닭,,
충무김밥,일반음식점,07_24_04_P,2002-08-26,음식점,053-358-2004,702-851,대구광역시 북구 칠성동2가 127번지 성광우방타운상가 126동 106호,41586,"대구광역시 북구 호암로 20, 126동 106호 (칠성동2가,성광우방타운상가)",Y,128.5919973,35.88176613,충무김밥,"월 09:00 - 21:00, 화 09:00 - 21:00, 수 09:00 - 21:00, 목 09:00 - 21:00, 금 09:00 - 21:00, 토 09:00 - 21:00, 일 09:00 - 21:00",
조개센타,일반음식점,07_24_04_P,2000-09-04,음식점,053-566-1447,702-851,"대구광역시 북구 칠성동2가 127번지 성광우방상가 125동 111,112호",41586,"대구광역시 북구 호암로 20, 125동 111,112호 (칠성동2가,성광우방상가)",Y,128.5919973,35.88176613,"가리비구이,모둠조개구이","월 17:00 - 02:00, 화 17:00 - 02:00, 수 17:00 - 02:00, 목 17:00 - 02:00, 금 17:00 - 02:00, 토 17:00 - 02:00, 일 17:00 - 02:00",
용구비어오페라점,일반음식점,07_24_04_P,2003-08-18,음식점,,702-851,"대구광역시 북구 칠성동2가 127번지 성광우방아파트 125동 109,110호",41586,"대구광역시 북구 호암로 20, 125동 109,110호 (칠성동2가,성광우방아파트)",Y,128.5919973,35.88176613,,,
한가네밥상,일반음식점,07_24_04_P,2003-02-03,음식점,053-353-7576,702-851,대구광역시 북구 칠성동2가 127번지 성광우방상가 125동 108호,41586,"대구광역시 북구 호암로 20, 125동 108호 (칠성동2가,성광우방상가)",Y,128.5919973,35.88176613,김치찌개,"월 11:00 - 21:30, 화 11:00 - 21:30, 수 11:00 - 21:30, 목 11:00 - 21:30, 금 11:00 - 21:30, 토 11:00 - 21:30, 일 11:00 - 21:30",
김밥파는사람들,휴게음식점,07_24_05_P,2005-12-01,음식점,053-356-3561,702-851,대구광역시 북구 칠성동2가 127번지 성광우방타운 125동 101호,41586,"대구광역시 북구 호암로 20, 125동 101호 (칠성동2가,성광우방타운)",Y,128.5919973,35.88176613,분식,,
대한쪽갈비,일반음식점,07_24_04_P,2014-03-12,음식점,053-355-5430,702-851,대구광역시 북구 칠성동2가 127번지 성광우방상가 123동 111호,41586,"대구광역시 북구 호암로 20, 123동 1층 111호 (칠성동2가, 성광우방상가)",Y,128.5919973,35.88176613,쪽갈비,"월 16:00 - 02:00, 화 16:00 - 02:00, 수 16:00 - 02:00, 목 16:00 - 02:00, 금 16:00 - 02:00, 토 16:00 - 02:00, 일 16:00 - 02:00",
배떡(침산점),휴게음식점,07_24_05_P,2020-12-29,음식점,053-353-2777,702-851,대구광역시 북구 칠성동2가 127 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 123동 1층 109호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,"떡볶이,분식",,
가마치통닭칠성점,일반음식점,07_24_04_P,2014-04-29,음식점,053-352-7292,702-851,대구광역시 북구 칠성동2가 127번지 ,41586,"대구광역시 북구 호암로 20, 123동 1층 108호 (칠성동2가, 성광우방)",Y,128.5919973,35.88176613,옛날통닭,"월 00:00 - 00:00, 화 00:00 - 00:00, 수 00:00 - 00:00, 목 00:00 - 00:00, 금 00:00 - 00:00, 토 00:00 - 00:00, 일 00:00 - 00:00",
비비큐(BBQ)칠성점,일반음식점,07_24_04_P,2020-08-10,음식점,053-358-7779,702-851,대구광역시 북구 칠성동2가 127 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 123동 1층 103호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,치킨,,
정갈한밥상술상,일반음식점,07_24_04_P,2020-12-28,음식점,053-341-9035,702-851,대구광역시 북구 칠성동2가 127 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 123동 115호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,한식,,
대구막창,일반음식점,07_24_04_P,2003-09-18,음식점,053-951-1866,702-851,대구광역시 북구 칠성동2가 127번지 성광우방타운 123동 113호,41586,"대구광역시 북구 호암로 20, 123동 113호 (칠성동2가,성광우방타운)",Y,128.5919973,35.88176613,수제비,"월 10:00 - 22:00, 화 10:00 - 22:00, 수 10:00 - 22:00, 목 10:00 - 22:00, 금 10:00 - 22:00, 토 10:00 - 22:00, 일 10:00 - 22:00",
풍족(오페라하우스점),일반음식점,07_24_04_P,2021-01-12,음식점,053-255-4826,702-851,대구광역시 북구 칠성동2가 127 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 123동 110호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,"족발, 보쌈",,
2학년1반 불막창,일반음식점,07_24_04_P,2003-04-18,음식점,053-359-3781,702-851,"대구광역시 북구 칠성동2가 127번지 성광상가 123동 106,107호",41586,"대구광역시 북구 호암로 20, 123동 106,107호 (칠성동2가,성광상가)",Y,128.5919973,35.88176613,불막창,"월 17:30 - 03:00, 화 17:30 - 03:00, 수 17:30 - 03:00, 목 17:30 - 03:00, 금 17:30 - 03:00, 토 17:30 - 03:00, 일 17:30 - 03:00",
주유천하,일반음식점,07_24_04_P,2020-07-21,음식점,053-353-5042,702-851,대구광역시 북구 칠성동2가 127 성광우방타운 ,41586,"대구광역시 북구 호암로 20, 123동 101,102호 (칠성동2가, 성광우방타운)",Y,128.5919973,35.88176613,중식,"월 17:00 - 01:00, 화 17:00 - 01:00, 수 17:00 - 01:00, 목 17:00 - 01:00, 금 17:00 - 01:00, 토 17:00 - 01:00, 일 17:00 - 01:00",
산호막창,일반음식점,07_24_04_P,2005-10-18,음식점,053-355-5458,702-851,대구광역시 북구 칠성동2가 127 성광우방타운123112 ,41586,"대구광역시 북구 호암로 20 (칠성동2가,성광우방타운123112)",Y,128.5919973,35.88176613,"막창, 곰장어",,
빵굽는파파쉐프,제과점영업,07_22_18_P,2013-12-04,음식점,053-353-2520,702-851,대구광역시 북구 칠성동2가 127번지 성광우방 상가 126동 108호 1층 ,41586,"대구광역시 북구 호암로 20 (칠성동2가, 성광우방 상가 126동 108호 1층)",Y,128.5919973,35.88176613,베이커리,,
구페(GOUFFE)1998,제과점영업,07_22_18_P,2017-12-12,음식점,,702-062,대구광역시 북구 칠성동2가 725번지 ,41585,"대구광역시 북구 호암로 1, 롯데마트 칠성점 지하2층 (칠성동2가)",Y,128.5910934,35.88386506,,,
신데렐라쿠키,휴게음식점,07_24_05_P,2020-05-08,음식점,,702-062,대구광역시 북구 칠성동2가 725번지 ,41585,"대구광역시 북구 호암로 1, 1층 (칠성동2가)",Y,128.5910934,35.88386506,,,
화덕피자가 있는 알리멘티,일반음식점,07_24_04_P,2013-07-25,음식점,,702-894,대구광역시 북구 서변동 1724-1 유니버시아드레포츠센터지하1층 001호,41474,"대구광역시 북구 호국로57길 6, 지하1층 (서변동, 유니버시아드레포츠센터)",Y,128.5978779,35.92830325,,,
태영생막창,일반음식점,07_24_04_P,2004-08-31,음식점,053-955-6440,702-894,대구광역시 북구 서변동 1729-5 ,41474,대구광역시 북구 호국로57길 31-12 (서변동),Y,128.5962051,35.92692712,막창,,
꽃밭가든,일반음식점,07_24_04_P,2003-11-12,음식점,053-951-1433,702-892,대구광역시 북구 서변동 847번지 외1필지 ,41474,"대구광역시 북구 호국로57길 28-1 (서변동,외1필지)",Y,128.5956301,35.92763545,소갈비찜,,일 휴무
빠르띠로,휴게음식점,07_24_05_P,2019-11-27,음식점,053-939-8002,702-894,대구광역시 북구 서변동 1727번지 ,41474,"대구광역시 북구 호국로57길 19, 1층 (서변동)",Y,128.5964922,35.92734639,"커피, 토스트",,
와촌식육식당 동.서변점,일반음식점,07_24_04_P,2012-12-10,음식점,053-959-8892,702-894,대구광역시 북구 서변동 1780-7번지 ,41475,대구광역시 북구 호국로51길 5-29 (서변동),Y,128.5986451,35.92313548,"육류, 고기요리","월 10:00 - 22:00, 화 10:00 - 22:00, 수 10:00 - 22:00, 목 10:00 - 22:00, 금 10:00 - 22:00, 토 10:00 - 22:00, 일 10:00 - 22:00",
프랑슈,제과점영업,07_22_18_P,2014-02-20,음식점,053-956-0462,702-894,대구광역시 북구 서변동 1779번지 ,41475,대구광역시 북구 호국로51길 5 (서변동),Y,128.59864,35.92430224,버터모닝,"월 09:00 - 23:00, 화 09:00 - 23:00, 수 09:00 - 23:00, 목 09:00 - 23:00, 금 09:00 - 23:00",
포항식당,일반음식점,07_24_04_P,2000-07-14,음식점,,702-892,대구광역시 북구 서변동 900-3번지 ,41477,대구광역시 북구 호국로51길 39-4 (서변동),Y,128.5943763,35.9243485,,,
나이스마트분식,휴게음식점,07_24_05_P,2021-04-12,음식점,053-956-8002,702-892,대구광역시 북구 서변동 899-1 ,41477,"대구광역시 북구 호국로51길 35, C동 1층 (서변동)",Y,128.5950034,35.92423942,마트,,
빠리지엥베이커리,제과점영업,07_22_18_P,2012-03-21,음식점,,702-892,대구광역시 북구 서변동 899-1번지 하나로마트내 A동 ,41477,"대구광역시 북구 호국로51길 35, A동 (서변동, 하나로마트내)",Y,128.5950034,35.92423942,,,
국수본가,일반음식점,07_24_04_P,2003-09-23,음식점,053-958-3100,702-894,대구광역시 북구 서변동 1736-8번지 ,41474,대구광역시 북구 호국로51길 26-3 (서변동),Y,128.5960641,35.92464102,"잔치국수,칼국수",,
토종순대국밥식당,일반음식점,07_24_04_P,2002-10-10,음식점,053-958-5191,702-894,대구광역시 북구 서변동 1738-3 ,41474,대구광역시 북구 호국로51길 26-16 (서변동),Y,128.5963823,35.92520135,순대국밥,,일 휴무
신수원본가,일반음식점,07_24_04_P,2017-04-07,음식점,053-573-9292,702-894,대구광역시 북구 서변동 1736-12 ,41474,"대구광역시 북구 호국로51길 26-11, 1층 (서변동)",Y,128.5960855,35.9250621,수제돼지갈비,"월 16:30 - 23:30, 화 16:30 - 23:30, 수 16:30 - 23:30, 목 16:30 - 23:30, 금 16:30 - 23:30, 토 16:30 - 23:30, 일 16:30 - 23:30",
야촌숯불양념막창,일반음식점,07_24_04_P,2005-05-11,음식점,,702-894,대구광역시 북구 서변동 1738-9 ,41474,대구광역시 북구 호국로51길 26 (서변동),Y,128.596356,35.92458361,,,
내가잡은갈치도시어부,일반음식점,07_24_04_P,2012-02-09,음식점,053-939-8855,702-894,대구광역시 북구 서변동 1783번지 (1층) ,41475,"대구광역시 북구 호국로43길 8-34, 1층 (서변동)",Y,128.5986914,35.9227271,갈치요리,"월 11:30 - 21:00, 화 11:30 - 21:00, 수 11:30 - 21:00, 목 11:30 - 21:00, 금 11:30 - 21:00, 토 11:30 - 21:00, 일 11:30 - 21:00",
